H1,H2,H3,TESTIMONY1r1,TESTIMONY1r2,TESTIMONY2r1,TESTIMONY2r2,TESTIMONY3r1,TESTIMONY3r2,TESTIMONY4r1,TESTIMONY4r2,TASK1r1,TASK1r2,TASK2r1,TASK2r2,TASK3r1,TASK3r2,TASK4r1,TASK4r2,TASK5r1,TASK5r2,TASK6r1,TASK6r2,TASK7r1,TASK7r2,OVERVIEW1r1,OVERVIEW1r2,OVERVIEW2r1,OVERVIEW2r2
 Training Materials,Workflow,overview of contribution workflow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
 Training Materials,Workflow,Rely on documentation,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
 Training Materials,Workflow,make first contribution,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Training Materials,Workflow,Executing test cases,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
 Training Materials,Workflow,issues tracker/ bug fix workflow,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Training Materials,Workflow,Code quality activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 Training Materials,Workflow,Efforts required to make a contribution,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Training Materials,Workflow,Code review workflow (process/tool),0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1
 Training Materials,Workflow,Communication channel,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 Training Materials,Workflow,New contributors building persona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 Training Materials,Workflow,CI/CD workflow,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
 Training Materials,Workflow,make first accepted contribution in ecosystem release,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 Training Materials,Workflow,version control (git) activities,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 Training Materials,Workflow,Importance of splitting commits.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 Training Materials,Workflow,Mentors assigned activities,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
 Training Materials,Workflow,feature design workflow,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Training Materials,Workflow,new contributors building persona,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Training Materials,Workflow,Overview of contribution process,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 Training Materials,Workflow,Work culture and personal preference,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
 Training Materials,Workflow,Demonstration by examples,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Training Materials,Best practices,attend regular meetings,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Training Materials,Best practices,select project based on strengths and weaknesses,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Training Materials,Best practices,feature design best practices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 Training Materials,Best practices,Demonstration best practices,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
 Training Materials,Best practices,Rely on documentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 Training Materials,Best practices,Quality assurance best practices,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 Training Materials,Best practices,commit message best practices,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Training Materials,Best practices,version control (git) activities,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 Training Materials,Best practices,Code review best practices,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Training Materials,Best practices,Align to the community modus operandi,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
 Training Materials,Best practices,Vision/objectives,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Training Materials,Best practices,OUI purpose,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
 Training Materials,Vision/objectives,Diversify and inclusive community,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1
 Training Materials,Vision/objectives,Gender diversity,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
 Training Materials,Vision/objectives,Technical diversity,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
 Training Materials,Vision/objectives,Corporate diversity,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 Training Materials,Best practices,grow expertise within community,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 Training Materials,Best practices,self motivation overcomes barriers/frustrations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 Training Materials,Best practices,Project vs ecosystem,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
 Training Materials,Best practices,Vast expertise needed for OpenStack projects,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Training Materials,Vision/objectives,OUI purpose,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0
 Training Materials,Vision/objectives,grow expertise within community,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 Training Materials,Vision/objectives,self motivation overcomes barriers/frustrations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 Training Materials,Vision/objectives,Project vs ecosystem,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
 Training Materials,Vision/objectives,Vast expertise needed for OpenStack projects,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Organization of Training even,Agenda,activities that groom new contributors to be productive,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0
Organization of Training even,Agenda,Q/A session,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1
Organization of Training even,Agenda,Mentors introduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Organization of Training even,Agenda,Experts opinion on community norms,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1
Organization of Training even,Agenda,overview of contribution workflow,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Organization of Training even,Agenda,mentor-assigned activities,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Organization of Training even,Agenda,Working Environment and configuration to facilitate contributions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
Organization of Training even,Format,Communication channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
Organization of Training even,Format,competing for reward,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1
Organization of Training even,Format,Challenging activities,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1
Organization of Training even,Format,participants working independently,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Organization of Training even,Format,participants share experience from exercises,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
Organization of Training even,Format,Onboarding adapts to diverse learning methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Organization of Training even,Format,participant and mentor seating (configuration),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Organization of Training even,Format,Timed activity,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Organization of Training even,Format,Mentors/Mentee feedback,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Organization of Training even,Format,active participation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Advantages of Onboarding,To Ecosystem/Project,diverse contributions,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Ecosystem/Project,grow expertise within community,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Ecosystem/Project,mentoring helps achieve long and short term goals,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Ecosystem/Project,attract contributors,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Ecosystem/Project,Ecosystem vs. projects-team specifics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Advantages of Onboarding,To Ecosystem/Project,experts diverse knowledge build an inclusive ecosystem,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Ecosystem/Project,onboarding adapts to diverse learning methods,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Advantages of Onboarding,To Ecosystem/Project,Self motivation and commitment overcomes barriers/frustrations,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Ecosystem/Project,onboarding nuturing new contributors to grow in the ecosystem with confident,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
